victim,input_level,condition,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu
"face",15,"solo",1,742.797647,742.75659,0.032902
"face",15,"stress",1,2151.662393,766.802536,1384.812067
"face",15,"solo",2,736.31204,736.243362,0.035566
"face",15,"stress",2,2124.81505,776.000954,1348.781755
"face",15,"solo",3,741.785402,741.696718,0.052176
"face",15,"stress",3,2040.792031,745.989003,1294.798209
"face",15,"solo",4,738.590979,738.4702,0.08421
"face",15,"stress",4,2128.82439,761.654911,1367.167225
"face",15,"solo",5,729.41974,729.367933,0.038753
"face",15,"stress",5,2196.734264,795.42576,1401.3063
"face",15,"solo",6,746.599562,746.523744,0.059147
"face",15,"stress",6,2147.830917,762.716063,1385.111537
"face",15,"solo",7,734.040719,733.722911,0.290216
"face",15,"stress",7,2114.771543,761.953089,1352.808475
"face",15,"solo",8,741.179857,740.827898,0.305081
"face",15,"stress",8,2127.809529,739.65267,1388.123858
"face",15,"solo",9,746.930024,746.837697,0.06752
"face",15,"stress",9,2100.661067,727.055178,1373.596532
"face",15,"solo",10,733.666731,733.619761,0.026752
"face",15,"stress",10,2068.824558,721.10084,1347.691999
"face",15,"solo",11,738.020917,737.943032,0.03259
"face",15,"stress",11,2160.672803,770.356433,1390.298266
"face",15,"solo",12,725.930683,725.87673,0.029597
"face",15,"stress",12,2183.775937,765.856878,1417.919059
"face",15,"solo",13,744.107601,744.052817,0.030649
"face",15,"stress",13,2192.815048,780.538515,1412.267787
"face",15,"solo",14,728.203863,728.134743,0.035647
"face",15,"stress",14,2125.830676,763.880933,1361.904367
"face",15,"solo",15,736.392788,736.306737,0.061514
"face",15,"stress",15,2143.994795,767.476007,1376.513538
"face",15,"solo",16,716.400759,716.313606,0.055594
"face",15,"stress",16,2140.650238,772.766689,1367.875764
"face",15,"solo",17,725.492604,725.442601,0.031428
"face",15,"stress",17,2088.493201,737.369796,1351.066318
"face",15,"solo",18,737.1342,737.084717,0.042189
"face",15,"stress",18,2139.740684,763.762019,1375.969007
"face",15,"solo",19,723.020403,722.953859,0.039262
"face",15,"stress",19,2219.669572,729.132825,1490.536747
"face",15,"solo",20,741.277253,741.219566,0.036678
"face",15,"stress",20,2157.838144,795.648146,1362.184317
"face",30,"solo",1,1103.531156,1103.479111,0.033
"face",30,"stress",1,3632.826075,1117.579681,2515.225435
"face",30,"solo",2,1112.499367,1112.437442,0.035446
"face",30,"stress",2,3559.834885,1113.809785,2446.0251
"face",30,"solo",3,1115.132353,1115.074531,0.037954
"face",30,"stress",3,3580.79686,1144.711088,2436.077628
"face",30,"solo",4,1098.457257,1098.397604,0.035738
"face",30,"stress",4,3657.820995,1132.326341,2525.489524
"face",30,"solo",5,1123.700046,1123.640583,0.033765
"face",30,"stress",5,3569.843238,1136.134424,2433.644703
"face",30,"solo",6,1124.802701,1124.726799,0.040235
"face",30,"stress",6,3691.113454,1202.623108,2488.4818
"face",30,"solo",7,1102.301468,1102.235854,0.051367
"face",30,"stress",7,3623.826009,1177.943267,2445.882742
"face",30,"solo",8,1128.609801,1128.529717,0.03038
"face",30,"stress",8,3578.843125,1160.826383,2418.01059
"face",30,"solo",9,1106.707417,1106.6399,0.03767
"face",30,"stress",9,3587.237531,1130.893587,2456.338003
"face",30,"solo",10,1112.792838,1112.696184,0.084241
"face",30,"stress",10,3629.827588,1146.73144,2483.06545
"face",30,"solo",11,1110.237083,1110.114534,0.08521
"face",30,"stress",11,3627.613944,1189.310487,2438.302515
"face",30,"solo",12,1129.003143,1128.912944,0.067707
"face",30,"stress",12,3645.774489,1167.51943,2478.236044
"face",30,"solo",13,1115.048992,1114.999341,0.037809
"face",30,"stress",13,3623.7957,1143.926013,2479.849047
"face",30,"solo",14,1095.332753,1095.214164,0.059229
"face",30,"stress",14,3591.701749,1120.972522,2470.707416
"face",30,"solo",15,1113.992667,1113.911531,0.038945
"face",30,"stress",15,3656.789439,1187.58009,2469.18838
"face",30,"solo",16,1099.542605,1099.250897,0.268675
"face",30,"stress",16,3639.836854,1151.073623,2488.732102
"face",30,"solo",17,1119.971173,1119.909206,0.033172
"face",30,"stress",17,3707.784762,1128.740027,2579.02603
"face",30,"solo",18,1126.356144,1126.278396,0.03623
"face",30,"stress",18,3610.771456,1163.936021,2446.809687
"face",30,"solo",19,1134.239339,1134.1855,0.02723
"face",30,"stress",19,3640.843648,1145.105227,2495.733491
"face",30,"solo",20,1098.992485,1098.650916,0.317875
"face",30,"stress",20,3656.558474,1123.011947,2533.514616
