cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio,victim
55257,network,0,2,7656.043538,7335.241596,7.440833,306.688196,0.0,uploader
55474,network,0,3,7860.951387,7594.177564,5.296337,252.820247,0.0,uploader
55691,network,0,4,7725.723745,7407.674826,5.778219,304.045375,0.0,uploader
56038,network,0,5,7670.130387,7380.897219,4.721391,275.219827,0.0,uploader
56255,network,0,6,7706.917289,7464.893158,5.398726,228.475647,0.0,uploader
56472,network,0,7,7711.153834,7368.93198,4.654793,328.270134,0.0,uploader
56689,network,0,8,7717.898593,7462.041928,4.815694,242.034053,0.0,uploader
56906,network,0,9,7722.003203,7406.091663,5.423106,302.164352,0.0,uploader
57123,network,0,10,7658.168186,7403.382229,5.46953,240.954491,0.0,uploader
57445,network,4,1,36474.787343,9373.361123,6.773063,27060.999172,0.057939,uploader
58764,network,4,2,36436.721953,8604.838109,8.889834,27794.658746,0.064549,uploader
59996,network,4,3,36659.528641,8301.530784,6.831807,28320.815166,0.03689,uploader
61358,network,4,4,36617.998725,646.698568,5.559594,35968.254447,0.057766,uploader
62590,network,4,5,36411.92504,7244.270678,5.259241,29133.063333,0.036555,uploader
63692,network,4,6,36809.227209,9519.916837,5.74943,27248.570394,0.06989,uploader
64924,network,4,7,36599.043134,8136.981878,4.805078,28428.358082,0.039276,uploader
66156,network,4,8,36241.201544,9081.989812,7.853675,27119.919499,0.060835,uploader
67475,network,4,9,36621.032187,3982.298974,6.73888,32620.280615,0.025395,uploader
68707,network,4,10,36407.10606,7584.255777,8.990004,28788.980516,0.058343,uploader
69834,network,0,1,7884.387774,7588.448927,8.078982,279.319075,0.055103,s3
70051,network,0,2,7655.925755,7347.211634,4.851505,295.730112,0.0,s3
70268,network,0,3,7696.037981,7422.272333,5.104886,260.256899,0.0,s3
70485,network,0,4,7663.081023,7355.057605,5.600941,293.907867,0.0,s3
70832,network,0,5,7676.639509,7384.301337,5.071598,279.471533,0.0,s3
71049,network,0,6,7675.021716,7323.178271,5.200627,337.858212,0.0,s3
71266,network,0,7,7727.466019,7404.811455,6.837566,308.753992,0.0,s3
71483,network,0,8,7661.399003,7374.524651,6.160001,272.959589,0.0,s3
71700,network,0,9,7733.994374,7365.349992,5.237725,354.856279,0.0,s3
71917,network,0,10,7712.789327,7386.706706,5.354518,311.641029,0.0,s3
72239,network,4,1,37179.208286,9282.678866,7.143388,27856.892675,0.033312,s3
73601,network,4,2,36443.723991,7974.9112,5.789645,28431.716564,0.068321,s3
74833,network,4,3,36316.680945,7862.939,5.186054,28419.997134,0.033652,s3
76065,network,4,4,36838.680909,9332.823787,5.030141,27465.934629,0.060172,s3
77297,network,4,5,36600.527124,7388.34274,5.565031,29177.912688,0.05315,s3
78616,network,4,6,36473.247529,1674.739614,4.529007,34790.179337,0.056246,s3
79718,network,4,7,36862.883214,9020.980383,6.575324,27801.566551,0.033112,s3
81080,network,4,8,36611.549703,8365.880117,5.955432,28207.849476,0.048803,s3
82399,network,4,9,36672.299219,8041.985616,10.437538,28594.548284,0.066525,s3
