cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio,victim
55257,network,0,2,7656.043538,7652.409103,0.189669,3.274376,0.0,uploader
55474,network,0,3,7860.951387,7860.28995,0.248841,0.070523,0.0,uploader
55691,network,0,4,7725.723745,7716.041696,0.254817,9.219238,0.0,uploader
56038,network,0,5,7670.130387,7662.88182,0.163495,6.924435,0.0,uploader
56255,network,0,6,7706.917289,7691.455292,0.223025,15.087838,0.0,uploader
56472,network,0,7,7711.153834,7701.670117,0.231186,9.013161,0.0,uploader
56689,network,0,8,7717.898593,7714.369825,0.215879,3.147306,0.0,uploader
56906,network,0,9,7722.003203,7718.782926,0.165574,2.836321,0.0,uploader
57123,network,0,10,7658.168186,7646.526996,0.184066,11.206382,0.0,uploader
57445,network,4,1,36474.787343,9427.548342,0.357484,27016.907726,0.048101,uploader
58764,network,4,2,36436.721953,8638.475391,0.343582,27770.882145,0.056366,uploader
59996,network,4,3,36659.528641,8328.796426,0.351476,28303.592873,0.028124,uploader
61358,network,4,4,36617.998725,654.482177,0.328476,35961.153065,0.039863,uploader
62590,network,4,5,36411.92504,7273.858185,0.337484,29113.288763,0.020246,uploader
63692,network,4,6,36809.227209,9546.148081,0.314639,27232.653541,0.06399,uploader
64924,network,4,7,36599.043134,8173.294688,0.274518,28401.293707,0.020387,uploader
66156,network,4,8,36241.201544,9112.32989,0.337815,27099.983437,0.051719,uploader
67475,network,4,9,36621.032187,4008.375985,0.286423,32599.434721,0.019816,uploader
68707,network,4,10,36407.10606,7601.900502,2.092842,28780.397318,0.052271,uploader
69834,network,0,1,7884.387774,7884.011144,0.253437,0.0,0.045194,s3
70051,network,0,2,7655.925755,7651.798602,0.17501,3.858829,0.0,s3
70268,network,0,3,7696.037981,7690.101849,0.146054,5.7059,0.0,s3
70485,network,0,4,7663.081023,7651.706567,0.403994,10.717055,0.0,s3
70832,network,0,5,7676.639509,7672.344297,0.183149,3.883636,0.0,s3
71049,network,0,6,7675.021716,7663.987295,0.226244,10.648255,0.0,s3
71266,network,0,7,7727.466019,7712.548978,0.189831,14.573181,0.0,s3
71483,network,0,8,7661.399003,7644.218988,0.181716,16.818547,0.0,s3
71700,network,0,9,7733.994374,7729.950957,0.181178,3.64041,0.0,s3
71917,network,0,10,7712.789327,7708.329921,0.1925,3.945832,0.0,s3
72239,network,4,1,37179.208286,9323.389234,0.36837,27826.29508,0.019446,s3
73601,network,4,2,36443.723991,7997.781877,0.32456,28419.208594,0.054896,s3
74833,network,4,3,36316.680945,7884.088181,0.366016,28408.441451,0.014337,s3
76065,network,4,4,36838.680909,9360.722334,0.303377,27448.320163,0.045726,s3
77297,network,4,5,36600.527124,7409.337282,0.276216,29166.900029,0.040667,s3
78616,network,4,6,36473.247529,1680.156186,0.223002,34787.002156,0.045255,s3
79718,network,4,7,36862.883214,9059.223913,0.337531,27773.508009,0.014967,s3
81080,network,4,8,36611.549703,8401.24355,0.263851,28182.276354,0.028715,s3
82399,network,4,9,36672.299219,8077.406226,0.361064,28568.874887,0.054722,s3
83631,network,4,10,36576.980927,8645.835357,0.301544,27904.366755,0.023494,s3
84758,block_io,0,1,2355.653106,1668.099851,0.260528,0.0,687.199962,compression
85149,block_io,4,1,6820.421097,3608.501579,0.167634,0.0,3211.641675,compression
85453,block_io,0,2,2399.166447,2398.916355,0.149273,0.0,0.014467,compression
85714,block_io,4,2,6815.863489,3133.383882,0.268435,0.0,3682.249053,compression
86018,block_io,0,3,2369.817976,2208.087531,0.092928,0.0,161.617077,compression
86409,block_io,4,3,6786.653829,3460.660007,0.225755,0.0,3325.772263,compression
86713,block_io,0,4,2485.86846,2485.582709,0.199146,0.0,0.016812,compression
86974,block_io,4,4,6378.907541,2676.340116,0.145345,0.0,3702.380132,compression
87278,block_io,0,5,2222.191854,2221.942085,0.128342,0.0,0.016741,compression
87669,block_io,4,5,7113.008648,3624.004514,0.249015,0.0,3488.722837,compression
87973,block_io,0,6,2156.57533,2156.408909,0.136746,0.0,0.016511,compression
88364,block_io,4,6,6844.63436,3614.368097,0.240073,0.0,3230.103978,compression
88668,block_io,0,7,2434.983636,2434.754664,0.192243,0.0,0.017413,compression
88929,block_io,4,7,7280.094378,3637.328694,0.262499,0.0,3642.582163,compression
89233,block_io,0,8,2252.157281,2251.988332,0.104418,0.0,0.016791,compression
89624,block_io,4,8,6798.955216,3636.503547,0.319925,0.0,3162.248206,compression
89928,block_io,0,9,2398.358742,2398.180265,0.147829,0.0,0.014367,compression
90189,block_io,4,9,7027.466025,3385.304353,0.203557,0.0,3641.97869,compression
90493,block_io,0,10,2370.7853,2370.600206,0.141903,0.0,0.016621,compression
90884,block_io,4,10,7263.028293,3522.968496,0.232454,0.0,3739.907662,compression
