timestamp,resource_type,container_count,iteration,cpu_percent,memory_mb,cpu_ratio_system,mem_ratio_system
1782922784.589819568,sequential,1,18,2.93,70.8242,0.1221,0.0752
1782922788.192374493,sequential,1,19,1.95,70.8164,0.0813,0.0752
1782922791.864323203,sequential,1,20,1.95,70.8125,0.0813,0.0752
1782922795.636483206,sequential,1,21,2.93,70.8242,0.1221,0.0752
1782922799.201028845,sequential,1,22,2.93,70.8359,0.1221,0.0752
1782922802.831731928,sequential,1,23,1.95,70.8047,0.0813,0.0752
1782922806.483821983,sequential,1,24,1.95,70.8398,0.0813,0.0752
1782922810.176096036,sequential,1,25,2.93,70.8008,0.1221,0.0752
1782922813.938476468,sequential,1,26,2.93,70.8203,0.1221,0.0752
1782922817.560764348,sequential,1,27,1.95,70.8359,0.0813,0.0752
1782922821.292168603,sequential,1,28,2.93,70.8164,0.1221,0.0752
1782922824.883990267,sequential,1,29,1.95,70.8398,0.0813,0.0752
1782922828.586309451,sequential,1,30,2.93,70.832,0.1221,0.0752
1782922834.449007271,aes,1,1,2.93,70.8086,0.1221,0.0752
1782922838.517349837,aes,1,2,2.93,70.8125,0.1221,0.0752
1782922842.489328839,aes,1,3,2.93,70.8125,0.1221,0.0752
1782922846.543854549,aes,1,4,1.95,70.8164,0.0813,0.0752
1782922850.556109604,aes,1,5,1.95,70.8164,0.0813,0.0752
1782922854.488170353,aes,1,6,1.95,70.8086,0.0813,0.0752
1782922858.503726388,aes,1,7,1.95,70.8086,0.0813,0.0752
1782922862.394082772,aes,1,8,2.93,70.832,0.1221,0.0752
1782922866.367529412,aes,1,9,1.96,70.8047,0.0817,0.0752
1782922870.309533645,aes,1,10,2.93,70.8125,0.1221,0.0752
1782922874.202932277,aes,1,11,2.93,70.8086,0.1221,0.0752
1782922878.237194284,aes,1,12,0.98,70.8281,0.0408,0.0752
1782922882.229954218,aes,1,13,2.93,70.832,0.1221,0.0752
1782922886.273356758,aes,1,14,1.95,70.8203,0.0813,0.0752
1782922890.226837208,aes,1,15,1.95,70.8398,0.0813,0.0752
1782922894.209512258,aes,1,16,1.95,70.8164,0.0813,0.0752
1782922898.271268220,aes,1,17,2.93,70.8359,0.1221,0.0752
1782922902.466051577,aes,1,18,1.95,70.8359,0.0813,0.0752
1782922906.348077199,aes,1,19,1.95,70.8398,0.0813,0.0752
1782922910.300280384,aes,1,20,1.95,70.8242,0.0813,0.0752
1782922914.504588216,aes,1,21,1.95,70.8398,0.0813,0.0752
1782922918.437716252,aes,1,22,1.95,70.8359,0.0813,0.0752
1782922922.380523736,aes,1,23,1.95,70.8008,0.0813,0.0752
1782922926.574482147,aes,1,24,1.95,70.8398,0.0813,0.0752
1782922930.526008627,aes,1,25,2.93,70.8398,0.1221,0.0752
1782922934.609410215,aes,1,26,2.93,70.8203,0.1221,0.0752
1782922938.674146795,aes,1,27,2.93,70.8203,0.1221,0.0752
1782922942.675700803,aes,1,28,2.93,70.8125,0.1221,0.0752
1782922946.678671532,aes,1,29,1.95,70.8008,0.0813,0.0752
1782922950.642122799,aes,1,30,2.93,70.8164,0.1221,0.0752
1782922956.706958138,uploader,1,1,3.91,70.8359,0.1629,0.0752
1782922957.731344437,uploader,1,1,1.95,70.8398,0.0813,0.0752
1782922961.376458380,uploader,1,2,2.93,70.8203,0.1221,0.0752
1782922962.399905761,uploader,1,2,2.93,70.8203,0.1221,0.0752
1782922966.131950634,uploader,1,3,3.91,70.8359,0.1629,0.0752
1782922967.154639076,uploader,1,3,2.93,70.8398,0.1221,0.0752
1782922970.846873973,uploader,1,4,3.91,70.8164,0.1629,0.0752
1782922971.869167581,uploader,1,4,1.96,70.8164,0.0817,0.0752
1782922975.882495820,uploader,1,5,3.91,70.8359,0.1629,0.0752
1782922976.906379928,uploader,1,5,1.95,70.8359,0.0813,0.0752
1782922980.585746780,uploader,1,6,3.91,70.8203,0.1629,0.0752
1782922981.608708533,uploader,1,6,1.96,70.8242,0.0817,0.0752
1782922985.362277026,uploader,1,7,1.96,70.8359,0.0817,0.0752
1782922986.385094113,uploader,1,7,3.92,70.8398,0.1633,0.0752
1782922990.619164037,uploader,1,8,3.91,70.8359,0.1629,0.0752
1782922991.641576171,uploader,1,8,1.96,70.8359,0.0817,0.0752
1782922995.322909873,uploader,1,9,3.91,70.8398,0.1629,0.0752
1782922996.346710757,uploader,1,9,2.93,70.8398,0.1221,0.0752
1782923000.070111491,uploader,1,10,3.91,70.8086,0.1629,0.0752
1782923001.093000359,uploader,1,10,1.95,70.8086,0.0813,0.0752
1782923004.814762843,uploader,1,11,3.91,70.8398,0.1629,0.0752
1782923005.836874855,uploader,1,11,1.96,70.8398,0.0817,0.0752
1782923009.531473752,uploader,1,12,2.93,70.8242,0.1221,0.0752
1782923010.554411249,uploader,1,12,2.94,70.8242,0.1225,0.0752
1782923014.315128850,uploader,1,13,2.93,70.832,0.1221,0.0752
1782923015.338606577,uploader,1,13,2.93,70.832,0.1221,0.0752
1782923019.371195497,uploader,1,14,3.91,70.8398,0.1629,0.0752
1782923020.393896910,uploader,1,14,2.93,70.8398,0.1221,0.0752
1782923024.195658384,uploader,1,15,3.91,70.8164,0.1629,0.0752
1782923025.218029072,uploader,1,15,0.98,70.8203,0.0408,0.0752
1782923028.972618984,uploader,1,16,1.95,70.8008,0.0813,0.0752
1782923029.996034005,uploader,1,16,3.91,70.8047,0.1629,0.0752
1782923033.767163380,uploader,1,17,2.93,70.8086,0.1221,0.0752
1782923034.790209452,uploader,1,17,2.94,70.8086,0.1225,0.0752
