timestamp,resource_type,container_count,iteration,cpu_percent,memory_mb,cpu_ratio_system,mem_ratio_system
1782669888.249836756,sequential,1,19,1.95,70.8086,0.0813,0.0752
1782669891.962916361,sequential,1,20,2.93,70.832,0.1221,0.0752
1782669895.624388655,sequential,1,21,2.93,70.8203,0.1221,0.0752
1782669899.174952064,sequential,1,22,2.93,70.8125,0.1221,0.0752
1782669903.098799267,sequential,1,23,1.95,70.7812,0.0813,0.0752
1782669906.729991607,sequential,1,24,2.93,70.8281,0.1221,0.0752
1782669910.412941847,sequential,1,25,2.93,70.8398,0.1221,0.0752
1782669914.105193659,sequential,1,26,2.92,70.8164,0.1217,0.0752
1782669917.817966722,sequential,1,27,2.93,70.7617,0.1221,0.0752
1782669921.449338834,sequential,1,28,2.93,70.8398,0.1221,0.0752
1782669925.042100784,sequential,1,29,2.93,70.8203,0.1221,0.0752
1782669928.683711181,sequential,1,30,2.93,70.8008,0.1221,0.0752
1782669934.416138671,aes,1,1,2.93,70.8203,0.1221,0.0752
1782669938.524257631,aes,1,2,1.95,70.6719,0.0813,0.0751
1782669942.627114435,aes,1,3,2.93,70.8164,0.1221,0.0752
1782669946.669240009,aes,1,4,2.93,70.7305,0.1221,0.0751
1782669950.723443564,aes,1,5,2.93,70.8281,0.1221,0.0752
1782669954.626555802,aes,1,6,1.95,70.8203,0.0813,0.0752
1782669958.699672632,aes,1,7,1.95,70.8359,0.0813,0.0752
1782669962.803266851,aes,1,8,2.93,70.8281,0.1221,0.0752
1782669966.735225133,aes,1,9,2.93,70.8164,0.1221,0.0752
1782669970.848610434,aes,1,10,1.95,70.832,0.0813,0.0752
1782669974.742164150,aes,1,11,2.93,70.7773,0.1221,0.0752
1782669978.894526953,aes,1,12,2.93,70.8125,0.1221,0.0752
1782669982.997919742,aes,1,13,2.93,70.8281,0.1221,0.0752
1782669986.971048484,aes,1,14,1.95,70.7031,0.0813,0.0751
1782669991.044866772,aes,1,15,1.95,70.6719,0.0813,0.0751
1782669995.177875482,aes,1,16,2.93,70.8125,0.1221,0.0752
1782669999.110745172,aes,1,17,2.93,70.8242,0.1221,0.0752
1782670003.064193519,aes,1,18,2.93,70.8203,0.1221,0.0752
1782670006.918131659,aes,1,19,2.93,70.8086,0.1221,0.0752
1782670010.871337703,aes,1,20,1.95,70.832,0.0813,0.0752
1782670014.835400283,aes,1,21,1.95,70.8008,0.0813,0.0752
