cgroup_id,resource_type,container_count,iteration,t_e2e_ms,with_puretime
394198,cpu,8,4,12705,false
394285,cpu,8,4,12792,false
394372,cpu,8,4,12491,false
394546,cpu,8,4,12023,false
394720,cpu,8,4,9880,true
394807,cpu,8,4,14120,true
394894,cpu,8,4,8430,true
394981,cpu,8,4,8914,true
395068,cpu,8,4,11919,true
395155,cpu,8,4,13086,true
395329,cpu,8,4,8267,true
395416,cpu,8,4,12277,true
395590,cpu,8,5,12749,false
395677,cpu,8,5,14665,false
395764,cpu,8,5,10774,false
395851,cpu,8,5,11649,false
395938,cpu,8,5,11680,false
396025,cpu,8,5,13820,false
396112,cpu,8,5,11135,false
396199,cpu,8,5,12559,false
396460,cpu,8,5,5916,true
396547,cpu,8,5,14395,true
396634,cpu,8,5,9789,true
396721,cpu,8,5,14398,true
396808,cpu,8,5,10478,true
396895,cpu,8,5,10391,true
396982,cpu,8,5,9912,true
397069,cpu,8,5,12184,true
397330,cpu,8,6,16113,false
397417,cpu,8,6,13876,false
397504,cpu,8,6,10205,false
397591,cpu,8,6,11098,false
397678,cpu,8,6,11377,false
397765,cpu,8,6,13806,false
397852,cpu,8,6,10863,false
397939,cpu,8,6,12574,false
398200,cpu,8,6,8624,true
398287,cpu,8,6,12351,true
398374,cpu,8,6,13429,true
398461,cpu,8,6,13917,true
398548,cpu,8,6,13867,true
398635,cpu,8,6,13622,true
398722,cpu,8,6,13126,true
398809,cpu,8,6,12525,true
399070,cpu,8,7,10498,false
399157,cpu,8,7,13332,false
399244,cpu,8,7,13952,false
399331,cpu,8,7,9096,false
399418,cpu,8,7,14646,false
399505,cpu,8,7,9426,false
399592,cpu,8,7,12710,false
399679,cpu,8,7,12181,false
399853,cpu,8,7,10499,true
399940,cpu,8,7,14020,true
400114,cpu,8,7,14396,true
400201,cpu,8,7,14386,true
400288,cpu,8,7,14757,true
400375,cpu,8,7,9821,true
400462,cpu,8,7,9908,true
400549,cpu,8,7,12532,true
400723,cpu,8,8,4920,false
400810,cpu,8,8,15260,false
400897,cpu,8,8,10109,false
400984,cpu,8,8,10837,false
401071,cpu,8,8,10632,false
401245,cpu,8,8,13498,false
401332,cpu,8,8,10013,false
401419,cpu,8,8,10440,false
401593,cpu,8,8,7945,true
401680,cpu,8,8,11177,true
401767,cpu,8,8,12266,true
401854,cpu,8,8,15298,true
401941,cpu,8,8,12819,true
402115,cpu,8,8,12689,true
402202,cpu,8,8,12277,true
402289,cpu,8,8,11750,true
402463,cpu,8,9,14740,false
402550,cpu,8,9,9445,false
402637,cpu,8,9,10967,false
402724,cpu,8,9,15060,false
402811,cpu,8,9,11827,false
402985,cpu,8,9,11776,false
403072,cpu,8,9,13235,false
403159,cpu,8,9,10861,false
403333,cpu,8,9,7804,true
403420,cpu,8,9,11345,true
403507,cpu,8,9,12653,true
403594,cpu,8,9,12832,true
403681,cpu,8,9,12833,true
403768,cpu,8,9,13805,true
403855,cpu,8,9,12094,true
404029,cpu,8,9,11476,true
404203,cpu,8,10,4945,false
404290,cpu,8,10,16098,false
404377,cpu,8,10,15068,false
404464,cpu,8,10,15208,false
404551,cpu,8,10,11575,false
404638,cpu,8,10,11695,false
404725,cpu,8,10,11613,false
404812,cpu,8,10,11318,false
405073,cpu,8,10,5867,true
405160,cpu,8,10,8441,true
405247,cpu,8,10,13134,true
405334,cpu,8,10,15028,true
405421,cpu,8,10,9403,true
405508,cpu,8,10,12472,true
405595,cpu,8,10,9007,true
405682,cpu,8,10,11213,true
405943,network,1,1,6454,false
406030,network,1,1,6413,true
406117,network,1,2,6410,false
406291,network,1,2,6429,true
406378,network,1,3,6463,false
406465,network,1,3,7444,true
406552,network,1,4,6419,false
406639,network,1,4,6417,true
406726,network,1,5,6413,false
406813,network,1,5,6425,true
406900,network,1,6,6399,false
406987,network,1,6,6423,true
407074,network,1,7,6432,false
407161,network,1,7,6389,true
407248,network,1,8,6414,false
407335,network,1,8,6415,true
407422,network,1,9,6409,false
407509,network,1,9,6613,true
407596,network,1,10,6414,false
407683,network,1,10,6422,true
407770,network,5,1,26367,false
407857,network,5,1,28187,false
407944,network,5,1,28466,false
408031,network,5,1,28181,false
408118,network,5,1,27810,false
408205,network,5,1,26384,true
408292,network,5,1,28100,true
408379,network,5,1,28285,true
408466,network,5,1,28123,true
408553,network,5,1,27665,true
408640,network,5,2,26558,false
408727,network,5,2,28234,false
408814,network,5,2,28642,false
408901,network,5,2,28302,false
408988,network,5,2,27870,false
409075,network,5,2,26555,true
409162,network,5,2,27996,true
409249,network,5,2,28516,true
409336,network,5,2,28154,true
409423,network,5,2,27731,true
409510,network,5,3,28256,false
409597,network,5,3,29739,false
409684,network,5,3,29931,false
409771,network,5,3,29865,false
409858,network,5,3,29372,false
409945,network,5,3,26543,true
410032,network,5,3,28281,true
410119,network,5,3,28419,true
410206,network,5,3,28322,true
410293,network,5,3,27851,true
410380,network,5,4,26615,false
410467,network,5,4,28194,false
410554,network,5,4,28434,false
410641,network,5,4,28345,false
410728,network,5,4,27941,false
410815,network,5,4,25836,true
410902,network,5,4,28022,true
410989,network,5,4,28303,true
411076,network,5,4,28118,true
411163,network,5,4,27850,true
411250,network,5,5,27571,false
411337,network,5,5,29737,false
411424,network,5,5,29804,false
411511,network,5,5,29771,false
411598,network,5,5,29266,false
411685,network,5,5,26457,true
411772,network,5,5,28135,true
411859,network,5,5,28425,true
411946,network,5,5,28196,true
412033,network,5,5,27803,true
412120,network,5,6,26504,false
412207,network,5,6,28144,false
412294,network,5,6,28436,false
412381,network,5,6,28164,false
412468,network,5,6,27811,false
412555,network,5,6,26451,true
412642,network,5,6,28096,true
412729,network,5,6,28449,true
412816,network,5,6,28019,true
412903,network,5,6,27842,true
412990,network,5,7,26634,false
413077,network,5,7,28449,false
413164,network,5,7,28564,false
413251,network,5,7,28311,false
413338,network,5,7,27936,false
413425,network,5,7,26636,true
413512,network,5,7,28143,true
413599,network,5,7,28490,true
413686,network,5,7,28228,true
413773,network,5,7,27861,true
413947,network,5,8,26493,false
414034,network,5,8,28086,false
414121,network,5,8,28949,false
414208,network,5,8,28813,false
414295,network,5,8,28630,false
414469,network,5,8,26761,true
414556,network,5,8,28180,true
414643,network,5,8,28456,true
414730,network,5,8,28321,true
414817,network,5,8,27876,true
414904,network,5,9,26350,false
414991,network,5,9,28187,false
415078,network,5,9,28358,false
415165,network,5,9,28211,false
415252,network,5,9,27785,false
415339,network,5,9,26571,true
415426,network,5,9,28259,true
415513,network,5,9,28463,true
415600,network,5,9,28249,true
415687,network,5,9,27876,true
415774,network,5,10,26457,false
415861,network,5,10,27956,false
415948,network,5,10,28313,false
416035,network,5,10,28118,false
416122,network,5,10,27767,false
416209,network,5,10,26172,true
416296,network,5,10,28182,true
416383,network,5,10,28662,true
416470,network,5,10,28178,true
416557,network,5,10,27818,true
416644,network,8,1,40116,false
416731,network,8,1,43388,false
416818,network,8,1,44307,false
416905,network,8,1,44768,false
416992,network,8,1,44849,false
417079,network,8,1,44649,false
417166,network,8,1,44192,false
417253,network,8,1,43826,false
417340,network,8,1,39785,true
417427,network,8,1,43532,true
417514,network,8,1,44727,true
417601,network,8,1,45055,true
417688,network,8,1,44650,true
417775,network,8,1,44648,true
417862,network,8,1,44197,true
417949,network,8,1,43801,true
418036,network,8,2,40189,false
418123,network,8,2,44129,false
418210,network,8,2,44552,false
418297,network,8,2,44988,false
418384,network,8,2,44792,false
418471,network,8,2,44724,false
418558,network,8,2,44345,false
418645,network,8,2,43883,false
418732,network,8,2,39100,true
418819,network,8,2,43526,true
418906,network,8,2,44485,true
418993,network,8,2,44699,true
419080,network,8,2,44725,true
419167,network,8,2,44470,true
419254,network,8,2,44234,true
419341,network,8,2,43723,true
419428,network,8,3,39922,false
419515,network,8,3,43206,false
419602,network,8,3,44174,false
419689,network,8,3,44971,false
419776,network,8,3,44767,false
419863,network,8,3,44511,false
419950,network,8,3,44309,false
420037,network,8,3,43776,false
420124,network,8,3,39543,true
420211,network,8,3,43367,true
420298,network,8,3,44111,true
420385,network,8,3,44755,true
420472,network,8,3,44794,true
420559,network,8,3,44559,true
420646,network,8,3,44145,true
420733,network,8,3,43759,true
420820,network,8,4,41105,false
420907,network,8,4,43084,false
420994,network,8,4,43850,false
421081,network,8,4,45073,false
421168,network,8,4,44882,false
421255,network,8,4,44642,false
421342,network,8,4,44312,false
421429,network,8,4,43833,false
421516,network,8,4,39774,true
421603,network,8,4,43399,true
421690,network,8,4,44452,true
421777,network,8,4,44730,true
421864,network,8,4,44807,true
421951,network,8,4,44564,true
422038,network,8,4,44359,true
422125,network,8,4,43840,true
422299,network,8,5,40188,false
422386,network,8,5,43510,false
422473,network,8,5,44508,false
422560,network,8,5,44851,false
422647,network,8,5,44720,false
422734,network,8,5,44611,false
422821,network,8,5,44331,false
422908,network,8,5,43860,false
422995,network,8,5,40227,true
423082,network,8,5,43900,true
423169,network,8,5,44544,true
423256,network,8,5,44864,true
423343,network,8,5,44909,true
423430,network,8,5,44763,true
423517,network,8,5,44391,true
423604,network,8,5,43919,true
423691,network,8,6,39742,false
423778,network,8,6,43565,false
423865,network,8,6,44248,false
423952,network,8,6,44906,false
424039,network,8,6,44866,false
424126,network,8,6,44772,false
424213,network,8,6,44264,false
424300,network,8,6,43796,false
424387,network,8,6,39815,true
424474,network,8,6,43591,true
424561,network,8,6,44377,true
424648,network,8,6,44916,true
424735,network,8,6,44803,true
424822,network,8,6,44745,true
424909,network,8,6,44280,true
424996,network,8,6,43813,true
425083,network,8,7,39774,false
425170,network,8,7,43461,false
425257,network,8,7,44552,false
425344,network,8,7,44928,false
425431,network,8,7,44774,false
425518,network,8,7,44706,false
425605,network,8,7,44396,false
425692,network,8,7,43867,false
425779,network,8,7,39660,true
425866,network,8,7,43317,true
425953,network,8,7,45001,true
426040,network,8,7,44794,true
426127,network,8,7,44841,true
426214,network,8,7,44646,true
426301,network,8,7,44225,true
426388,network,8,7,43837,true
426475,network,8,8,40190,false
426562,network,8,8,43739,false
426649,network,8,8,44853,false
426736,network,8,8,44901,false
426823,network,8,8,45017,false
426910,network,8,8,44697,false
426997,network,8,8,44331,false
427084,network,8,8,43879,false
427171,network,8,8,39736,true
427258,network,8,8,43747,true
427345,network,8,8,44714,true
427432,network,8,8,44694,true
427519,network,8,8,44904,true
427606,network,8,8,44650,true
427693,network,8,8,44237,true
427780,network,8,8,43772,true
427867,network,8,9,39924,false
427954,network,8,9,43432,false
428041,network,8,9,44504,false
428128,network,8,9,44974,false
428215,network,8,9,44854,false
