compute,rounds,iteration,switch_rate,without_ms,with_ms,overhead_pct
7000,18000,38,17743,2028.93,2044.13,0.749
7000,18000,39,17853,2016.43,2074.26,2.868
7000,18000,40,17491,2058.18,2032.57,-1.244
7000,18000,41,17843,2017.6,2058.19,2.012
7000,18000,42,17471,2060.6,2033.82,-1.3
7000,18000,43,17752,2027.9,2055.57,1.364
7000,18000,44,16004,2249.42,2039.59,-9.328
7000,18000,45,17914,2009.61,2089.94,3.997
7000,18000,46,17736,2029.79,2127.2,4.799
7000,18000,47,17821,2020.06,2037.41,0.859
7000,18000,48,17751,2028.11,2041.32,0.651
7000,18000,49,17102,2105.03,2818.15,33.877
7000,18000,50,16807,2141.99,2038.76,-4.819
7000,18000,51,17855,2016.26,2038.63,1.109
7000,18000,52,17733,2030.13,2043.19,0.643
7000,18000,53,12389,2905.7,2034.37,-29.987
7000,18000,54,17957,2004.83,2171.34,8.305
7000,18000,55,16218,2219.82,2043.36,-7.949
7000,18000,56,17886,2012.7,2079.87,3.337
7000,18000,57,17899,2011.26,2049.3,1.891
7000,18000,58,17838,2018.17,2051.3,1.642
7000,18000,59,16794,2143.65,2038.04,-4.927
7000,18000,60,16979,2120.3,2101.14,-0.904
7000,18000,61,17847,2017.18,2038.96,1.08
7000,18000,62,17825,2019.68,2042.78,1.144
7000,18000,63,17968,2003.55,2038.01,1.72
7000,18000,64,17892,2012.04,2201.24,9.403
7000,18000,65,17887,2012.67,2069.2,2.809
7000,18000,66,17857,2015.98,2058.74,2.121
7000,18000,67,17880,2013.37,2177.74,8.164
7000,18000,68,17906,2010.54,2037.82,1.357
7000,18000,69,17586,2047.09,2038.81,-0.404
7000,18000,70,17852,2016.61,2183.49,8.275
10500,13000,1,12026,2161.97,2205.4,2.009
10500,13000,2,11920,2181.26,2196.59,0.703
10500,13000,3,11976,2171.03,2200.0,1.334
10500,13000,4,11961,2173.66,2209.85,1.665
10500,13000,5,11811,2201.34,2197.84,-0.159
10500,13000,6,11962,2173.59,2237.71,2.95
10500,13000,7,11916,2181.99,2364.59,8.369
10500,13000,8,11774,2208.3,2209.8,0.068
10500,13000,9,11807,2202.05,2214.91,0.584
10500,13000,10,11963,2173.38,2197.21,1.096
10500,13000,11,11995,2167.5,2262.02,4.361
10500,13000,12,11804,2202.68,2188.87,-0.627
10500,13000,13,11895,2185.74,2190.64,0.224
10500,13000,14,11950,2175.72,2190.46,0.677
10500,13000,15,11973,2171.54,2189.17,0.812
10500,13000,16,11807,2202.17,2341.94,6.347
10500,13000,17,11871,2190.25,2189.54,-0.032
10500,13000,18,11959,2174.08,2246.05,3.31
10500,13000,19,11925,2180.28,2191.3,0.505
10500,13000,20,11949,2175.89,2190.5,0.671
10500,13000,21,11946,2176.41,2322.14,6.696
10500,13000,22,11783,2206.56,2238.83,1.462
10500,13000,23,11792,2204.87,2307.64,4.661
10500,13000,24,11966,2172.87,2190.13,0.794
10500,13000,25,11857,2192.85,2198.48,0.257
10500,13000,26,11135,2334.96,2221.94,-4.84
10500,13000,27,11909,2183.19,2197.52,0.656
10500,13000,28,11944,2176.89,2351.01,7.999
10500,13000,29,11921,2181.07,2196.36,0.701
10500,13000,30,11680,2226.01,2202.13,-1.073
10500,13000,31,11303,2300.32,2226.67,-3.202
10500,13000,32,11945,2176.61,2220.38,2.011
10500,13000,33,11981,2170.06,2195.88,1.19
10500,13000,34,11990,2168.4,2185.6,0.793
10500,13000,35,11916,2181.87,2197.99,0.739
10500,13000,36,11987,2169.09,2217.95,2.253
10500,13000,37,11993,2167.96,2189.72,1.004
10500,13000,38,11998,2166.99,2203.21,1.671
10500,13000,39,11978,2170.61,2196.73,1.203
10500,13000,40,11517,2257.62,2203.92,-2.379
10500,13000,41,11996,2167.43,2202.72,1.628
10500,13000,42,11987,2168.94,2198.95,1.384
10500,13000,43,11168,2328.11,2194.35,-5.745
10500,13000,44,11182,2325.23,2203.85,-5.22
10500,13000,45,11986,2169.23,2207.82,1.779
10500,13000,46,11966,2172.9,2190.65,0.817
10500,13000,47,11981,2170.09,2209.06,1.796
10500,13000,48,11945,2176.7,2197.59,0.96
10500,13000,49,11855,2193.16,2184.64,-0.388
10500,13000,50,11740,2214.62,2212.24,-0.107
10500,13000,51,11955,2174.8,2191.87,0.785
10500,13000,52,12037,2160.01,2195.99,1.666
10500,13000,53,11601,2241.13,2186.53,-2.436
10500,13000,54,10596,2453.8,2191.76,-10.679
10500,13000,55,11975,2171.23,2185.59,0.661
10500,13000,56,11969,2172.34,2189.25,0.778
10500,13000,57,11822,2199.29,2201.68,0.109
10500,13000,58,11497,2261.41,2343.5,3.63
10500,13000,59,12006,2165.55,2438.05,12.583
10500,13000,60,11213,2318.73,2189.37,-5.579
10500,13000,61,11915,2182.08,2202.05,0.915
10500,13000,62,11995,2167.49,2209.84,1.954
10500,13000,63,11895,2185.84,2192.26,0.294
10500,13000,64,11769,2209.25,2186.73,-1.019
10500,13000,65,11909,2183.28,2191.68,0.385
10500,13000,66,12014,2164.11,2204.69,1.875
10500,13000,67,11873,2189.81,2192.58,0.126
10500,13000,68,11969,2172.34,2191.89,0.9
10500,13000,69,11199,2321.54,2301.37,-0.869
10500,13000,70,11840,2196.01,2194.32,-0.077
