victim,iteration,without_ms,with_ms,overhead_pct,dropped_events
uploader,19,838.3,834.11,-0.5,0
uploader,20,839.71,881.66,4.996,0
uploader,21,853.31,827.48,-3.027,0
uploader,22,831.76,886.38,6.567,0
uploader,23,888.15,895.23,0.797,0
uploader,24,829.0,877.17,5.811,0
uploader,25,892.74,836.71,-6.276,0
uploader,26,826.73,887.22,7.317,0
uploader,27,885.76,843.82,-4.735,0
uploader,28,869.59,887.47,2.056,0
uploader,29,885.4,868.56,-1.902,0
uploader,30,880.3,884.5,0.477,0
s3,1,1567.0,1731.71,10.511,0
s3,2,2026.28,1621.72,-19.966,0
s3,3,1733.36,1777.21,2.53,0
s3,4,1637.06,1587.33,-3.038,0
s3,5,1590.76,1643.13,3.292,0
s3,6,1601.81,1562.55,-2.451,0
s3,7,1621.32,1574.97,-2.859,0
s3,8,1581.76,1613.66,2.017,0
s3,9,1757.43,1578.77,-10.166,0
s3,10,1624.56,1583.74,-2.513,0
s3,11,1619.56,1575.21,-2.738,0
s3,12,1632.93,1813.91,11.083,0
s3,13,1569.27,1625.27,3.569,0
s3,14,1578.61,1580.03,0.09,0
s3,15,1556.83,1613.37,3.632,0
s3,16,1621.42,1596.9,-1.512,0
s3,17,1608.78,1617.34,0.532,0
s3,18,1575.3,1579.94,0.295,0
s3,19,1559.24,1659.0,6.398,0
s3,20,1577.74,1605.45,1.756,0
s3,21,1607.98,1637.1,1.811,0
s3,22,1602.22,1609.68,0.466,0
s3,23,1571.81,1617.62,2.914,0
s3,24,1553.4,1580.55,1.748,0
s3,25,1618.63,1575.7,-2.652,0
s3,26,1640.02,1565.46,-4.546,0
s3,27,1608.24,1556.28,-3.231,0
s3,28,1605.18,1570.74,-2.146,0
s3,29,1612.45,1627.23,0.917,0
s3,30,1584.1,1605.32,1.34,0
compression,1,1882.88,1694.74,-9.992,0
compression,2,1714.45,1814.99,5.864,0
compression,3,1944.76,1742.93,-10.378,0
compression,4,1886.11,1882.43,-0.195,0
compression,5,1722.63,1804.47,4.751,0
compression,6,1855.28,1723.37,-7.11,0
compression,7,1905.43,1884.24,-1.112,0
compression,8,1851.72,1693.0,-8.571,0
compression,9,1923.73,1924.77,0.054,0
compression,10,1864.32,1774.62,-4.811,0
compression,11,1824.73,1803.73,-1.151,0
compression,12,1945.6,1872.42,-3.761,0
compression,13,1754.9,1835.39,4.587,0
compression,14,1733.95,1733.56,-0.022,0
compression,15,1994.8,1895.03,-5.002,0
compression,16,1834.62,1714.15,-6.566,0
compression,17,1875.21,1925.54,2.684,0
compression,18,1774.16,1874.6,5.661,0
compression,19,1905.02,1833.6,-3.749,0
compression,20,1834.8,1773.5,-3.341,0
compression,21,1834.55,1844.54,0.545,0
compression,22,1845.25,1874.86,1.605,0
compression,23,1983.89,1844.88,-7.007,0
compression,24,1774.31,1813.05,2.183,0
compression,25,1818.6,2015.23,10.812,0
compression,26,1845.69,1823.58,-1.198,0
compression,27,1893.86,1793.75,-5.286,0
compression,28,1813.26,1984.92,9.467,0
compression,29,1845.01,1844.59,-0.023,0
compression,30,1995.46,1834.31,-8.076,0
