victim,input_level,condition,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu
"float",10000000,"solo",9,1058.304513,1058.088519,0.215994
"float",10000000,"stress",9,2899.503618,1118.767644,1780.735974
"float",10000000,"solo",10,1048.98063,1048.92731,0.05332
"float",10000000,"stress",10,2042.333086,1115.695744,926.637342
"float",10000000,"solo",11,1058.865277,1058.732046,0.133231
"float",10000000,"stress",11,3097.514341,1100.79592,1996.718421
"float",10000000,"solo",12,1076.682673,1076.618272,0.064401
"float",10000000,"stress",12,1954.450329,1147.703869,806.74646
"float",10000000,"solo",13,1033.014909,1032.778645,0.236264
"float",10000000,"stress",13,2384.660191,1112.543592,1272.116599
"float",10000000,"solo",14,1052.145872,1052.098676,0.047196
"float",10000000,"stress",14,2615.493369,1074.710903,1540.782466
"float",10000000,"solo",15,1209.215771,1209.175154,0.040617
"float",10000000,"stress",15,3116.031256,1057.662254,2058.369002
"float",10000000,"solo",16,1046.155286,1046.064137,0.091149
"float",10000000,"stress",16,1632.39835,1071.634119,560.764231
"float",10000000,"solo",17,1048.412427,1048.148022,0.264405
"float",10000000,"stress",17,2929.567167,1086.661883,1842.905284
"float",10000000,"solo",18,1072.126866,1072.062557,0.064309
"float",10000000,"stress",18,2887.462104,1104.052571,1783.409533
"float",10000000,"solo",19,1100.879246,1100.83913,0.040116
"float",10000000,"stress",19,3457.218058,1129.608777,2327.609281
"float",10000000,"solo",20,1055.986566,1055.833942,0.152624
"float",10000000,"stress",20,2777.93248,1066.715387,1711.217093
"float",20000000,"solo",1,1818.986859,1818.930633,0.056226
"float",20000000,"stress",1,5391.356217,1927.458799,3463.897418
"float",20000000,"solo",2,1874.288873,1874.213991,0.074882
"float",20000000,"stress",2,6417.437788,1897.650244,4519.787544
"float",20000000,"solo",3,1868.112124,1868.065466,0.046658
"float",20000000,"stress",3,5203.332876,1940.44586,3262.887016
"float",20000000,"solo",4,1951.906189,1951.862117,0.044072
"float",20000000,"stress",4,5069.634106,1891.44599,3178.188116
"float",20000000,"solo",5,1874.476305,1874.252795,0.22351
"float",20000000,"stress",5,5739.382524,1897.732445,3841.650079
"float",20000000,"solo",6,1819.463982,1819.421721,0.042261
"float",20000000,"stress",6,3728.44955,1900.409444,1828.040106
"float",20000000,"solo",7,1852.502918,1852.468292,0.034626
"float",20000000,"stress",7,5767.529779,1893.804944,3873.724835
