victim,input_level,condition,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu
float,4000000,stress,20,1941.776925,753.74681,1188.030115
float,6000000,solo,1,776.639954,776.558881,0.081073
float,6000000,stress,1,2441.782747,841.111844,1600.670903
float,6000000,solo,2,765.044579,764.695813,0.348766
float,6000000,stress,2,2451.763828,864.618099,1587.145729
float,6000000,solo,3,789.336606,789.303614,0.032992
float,6000000,stress,3,2382.824756,819.208334,1563.616422
float,6000000,solo,4,766.563409,766.524466,0.038943
float,6000000,stress,4,2314.778945,819.85565,1494.923295
float,6000000,solo,5,796.912061,796.88596,0.026101
float,6000000,stress,5,2291.789427,858.360903,1433.428524
float,6000000,solo,6,773.221268,773.186002,0.035266
float,6000000,stress,6,2437.775708,824.360647,1613.415061
float,6000000,solo,7,813.557137,813.517992,0.039145
float,6000000,stress,7,2321.559743,782.355302,1539.204441
float,6000000,solo,8,779.668782,779.483896,0.184886
float,6000000,stress,8,2295.78599,855.595691,1440.190299
float,6000000,solo,9,774.756028,774.689925,0.042929
float,6000000,stress,9,2313.775069,816.769957,1497.005112
float,6000000,solo,10,781.979725,781.92874,0.050985
float,6000000,stress,10,2576.783854,892.041553,1684.742301
float,6000000,solo,11,769.018705,768.989901,0.028804
float,6000000,stress,11,2268.771863,825.132019,1443.639844
float,6000000,solo,12,792.291821,792.241275,0.050546
float,6000000,stress,12,2345.736098,813.398961,1532.33344
float,6000000,solo,13,805.820162,805.771,0.049162
float,6000000,stress,13,2678.793927,928.993463,1749.784684
float,6000000,solo,14,792.397454,792.368389,0.029065
float,6000000,stress,14,2271.799307,808.606222,1463.193085
float,6000000,solo,15,808.102518,808.053246,0.049272
float,6000000,stress,15,2382.761876,854.733307,1528.024261
float,6000000,solo,16,768.577337,768.516434,0.03804
float,6000000,stress,16,2296.752573,802.322672,1494.425082
float,6000000,solo,17,812.490617,812.437845,0.036952
float,6000000,stress,17,2685.793134,909.351948,1776.441186
float,6000000,solo,18,845.352538,845.310127,0.042411
float,6000000,stress,18,2316.575067,846.418381,1470.148311
float,6000000,solo,19,796.761453,796.697104,0.036727
float,6000000,stress,19,2267.800561,832.032595,1435.760212
float,6000000,solo,20,787.339051,787.301531,0.03752
float,6000000,stress,20,2279.7772,787.258133,1492.519067
float,9000000,solo,1,1009.300847,1009.058682,0.242165
float,9000000,stress,1,3249.799513,1046.420504,2203.379009
float,9000000,solo,2,1013.511112,1013.478382,0.03273
float,9000000,stress,2,3247.797766,1051.748263,2196.049503
float,9000000,solo,3,1023.434989,1023.404473,0.030516
float,9000000,stress,3,3237.764533,1043.859437,2193.905096
float,9000000,solo,4,1062.481949,1062.453445,0.028504
float,9000000,stress,4,3187.77943,1049.640945,2138.138485
float,9000000,solo,5,1018.206413,1018.17286,0.033553
float,9000000,stress,5,3593.467227,1153.893466,2439.573761
float,9000000,solo,6,1023.673921,1023.640477,0.033444
float,9000000,stress,6,3187.783724,1100.935521,2086.848203
float,9000000,solo,7,1008.44652,1008.407499,0.039021
float,9000000,stress,7,3234.777523,1060.589518,2174.188005
float,9000000,solo,8,1028.777921,1028.749838,0.028083
float,9000000,stress,8,3330.808567,1108.389947,2222.41862
float,9000000,solo,9,1025.741613,1025.548933,0.19268
